player_id,bb_count,air,pull_air,pull_fb,pull,fly_ball,line_drive,ground,avg_ev,avg_la,pull_air_pct,pull_fb_pct,pull_pct,air_pct
650490,74,31,4,1,17,14,17,38,89.1108108108108,5.0675675675675675,5.405405405405405,1.3513513513513513,22.972972972972972,41.891891891891895
608070,73,47,20,13,33,32,15,16,90.61780821917809,25.82191780821918,27.397260273972602,17.80821917808219,45.205479452054796,64.38356164383562
607208,72,40,11,7,25,24,16,29,88.57638888888889,15.791666666666666,15.277777777777779,9.722222222222221,34.72222222222222,55.55555555555556
694384,72,33,9,3,33,14,19,37,86.84166666666667,8.041666666666666,12.5,4.166666666666667,45.833333333333336,45.833333333333336
691406,72,34,18,10,36,17,17,28,90.39722222222223,15.51388888888889,25.0,13.88888888888889,50.0,47.22222222222222
518692,71,43,17,4,32,25,18,26,93.12394366197184,16.04225352112676,23.943661971830984,5.633802816901408,45.070422535211264,60.563380281690144
593428,71,32,13,5,35,16,16,34,89.7718309859155,9.901408450704226,18.309859154929576,7.042253521126761,49.29577464788732,45.070422535211264
666182,70,31,5,1,19,10,21,38,91.18285714285715,5.485714285714286,7.142857142857143,1.4285714285714286,27.142857142857142,44.285714285714285
656305,70,24,10,2,34,7,17,38,88.22089552238806,4.656716417910448,14.285714285714286,2.857142857142857,48.57142857142857,34.285714285714285
665489,70,28,7,3,26,12,16,39,92.05428571428571,4.271428571428571,10.0,4.285714285714286,37.142857142857146,40.0
805808,70,46,19,6,33,25,21,20,88.48571428571428,18.271428571428572,27.142857142857142,8.571428571428571,47.142857142857146,65.71428571428571
647304,70,28,14,6,39,14,14,33,86.34857142857142,12.271428571428572,20.0,8.571428571428571,55.714285714285715,40.0
514888,70,31,16,6,41,12,19,34,86.16142857142857,7.4,22.857142857142858,8.571428571428571,58.57142857142857,44.285714285714285
596019,70,37,14,4,35,17,20,28,90.30714285714286,14.7,20.0,5.714285714285714,50.0,52.857142857142854
672640,69,32,10,3,25,19,13,36,92.18695652173912,6.202898550724638,14.492753623188406,4.3478260869565215,36.231884057971016,46.3768115942029
607043,69,34,14,5,31,15,19,31,89.65797101449274,9.782608695652174,20.28985507246377,7.246376811594203,44.927536231884055,49.27536231884058
650402,68,37,2,1,11,20,17,31,83.15882352941176,5.220588235294118,2.9411764705882355,1.4705882352941178,16.176470588235293,54.411764705882355
677951,68,35,9,0,25,13,22,23,92.80597014925372,18.507462686567163,13.235294117647058,0.0,36.76470588235294,51.470588235294116
572233,68,31,10,3,25,17,14,32,90.03823529411765,10.852941176470589,14.705882352941176,4.411764705882353,36.76470588235294,45.588235294117645
689414,68,36,16,4,31,15,21,28,87.3264705882353,12.073529411764707,23.529411764705884,5.882352941176471,45.588235294117645,52.94117647058823
665926,68,32,9,5,29,18,14,33,86.03970588235293,7.985294117647059,13.235294117647058,7.352941176470588,42.64705882352941,47.05882352941177
660670,67,33,12,6,28,17,16,27,87.76716417910447,16.761194029850746,17.91044776119403,8.955223880597014,41.791044776119406,49.25373134328358
663586,67,29,9,3,31,17,12,29,90.11641791044777,19.791044776119403,13.432835820895523,4.477611940298507,46.26865671641791,43.28358208955224
691016,67,33,11,5,34,21,12,29,89.68358208955225,12.940298507462687,16.417910447761194,7.462686567164179,50.74626865671642,49.25373134328358
701538,67,34,12,2,32,18,16,28,87.6955223880597,13.059701492537313,17.91044776119403,2.985074626865672,47.76119402985075,50.74626865671642
686469,67,35,17,8,38,20,15,25,88.54776119402985,16.64179104477612,25.37313432835821,11.940298507462687,56.71641791044776,52.23880597014925
701398,66,35,8,4,21,24,11,27,91.403125,13.875,12.121212121212121,6.0606060606060606,31.818181818181817,53.03030303030303
521692,66,32,9,4,26,19,13,24,87.9060606060606,19.181818181818183,13.636363636363637,6.0606060606060606,39.39393939393939,48.484848484848484
606466,66,35,19,6,40,15,20,28,91.18939393939394,9.545454545454545,28.78787878787879,9.090909090909092,60.60606060606061,53.03030303030303
621043,66,32,11,1,28,10,22,31,89.3469696969697,8.454545454545455,16.666666666666668,1.5151515151515151,42.42424242424242,48.484848484848484
668227,66,27,9,4,25,12,15,38,90.15454545454546,3.3636363636363638,13.636363636363637,6.0606060606060606,37.878787878787875,40.90909090909091
547180,66,37,12,7,31,22,15,28,89.0060606060606,13.0,18.181818181818183,10.606060606060606,46.96969696969697,56.06060606060606
672695,65,26,11,5,39,13,13,36,84.296875,7.8125,16.923076923076923,7.6923076923076925,60.0,40.0
682928,65,37,14,7,31,23,14,24,90.55076923076923,15.938461538461539,21.53846153846154,10.76923076923077,47.69230769230769,56.92307692307692
683002,65,33,19,13,40,19,14,25,91.38923076923078,19.06153846153846,29.23076923076923,20.0,61.53846153846154,50.76923076923077
671056,65,25,8,2,28,10,15,34,90.50307692307692,7.876923076923077,12.307692307692308,3.076923076923077,43.07692307692308,38.46153846153846
681198,65,36,16,6,35,17,19,25,87.44000000000001,13.923076923076923,24.615384615384617,9.23076923076923,53.84615384615385,55.38461538461539
677594,64,27,8,2,27,13,14,33,88.5609375,7.234375,12.5,3.125,42.1875,42.1875
805300,64,35,14,6,31,19,16,22,86.2984126984127,17.38095238095238,21.875,9.375,48.4375,54.6875
670770,64,24,5,2,27,12,12,33,82.73050847457628,15.169491525423728,7.8125,3.125,42.1875,37.5
621566,64,32,14,9,30,23,9,25,91.6453125,17.234375,21.875,14.0625,46.875,50.0
800050,63,32,14,8,34,18,14,21,90.94920634920635,18.825396825396826,22.22222222222222,12.698412698412698,53.96825396825397,50.79365079365079
641355,63,35,11,8,24,26,9,19,87.63870967741936,23.096774193548388,17.46031746031746,12.698412698412698,38.095238095238095,55.55555555555556
663656,63,32,12,7,34,18,14,27,87.65396825396824,11.88888888888889,19.047619047619047,11.11111111111111,53.96825396825397,50.79365079365079
808982,63,29,8,2,27,12,17,32,89.07301587301588,11.285714285714286,12.698412698412698,3.1746031746031744,42.857142857142854,46.03174603174603
661388,63,29,11,2,24,13,16,25,91.36666666666667,15.412698412698413,17.46031746031746,3.1746031746031744,38.095238095238095,46.03174603174603
664761,62,24,1,1,22,12,12,32,89.02258064516128,9.919354838709678,1.6129032258064515,1.6129032258064515,35.483870967741936,38.70967741935484
543760,62,41,17,8,29,24,17,17,85.54262295081968,20.9672131147541,27.419354838709676,12.903225806451612,46.774193548387096,66.12903225806451
687263,62,40,21,11,35,27,13,20,88.81290322580645,22.451612903225808,33.87096774193548,17.741935483870968,56.45161290322581,64.51612903225806
677587,62,28,11,6,29,12,16,26,85.55901639344263,12.540983606557377,17.741935483870968,9.67741935483871,46.774193548387096,45.16129032258065
669127,62,37,9,5,22,23,14,19,92.2290322580645,20.387096774193548,14.516129032258064,8.064516129032258,35.483870967741936,59.67741935483871
677800,62,33,13,6,29,20,13,25,91.3,16.80327868852459,20.967741935483872,9.67741935483871,46.774193548387096,53.225806451612904
682829,62,31,8,2,26,18,13,30,94.71525423728814,13.898305084745763,12.903225806451612,3.225806451612903,41.935483870967744,50.0
802139,62,31,13,7,37,18,13,28,87.62622950819672,12.01639344262295,20.967741935483872,11.290322580645162,59.67741935483871,50.0
643289,62,33,9,4,23,17,16,22,87.45322580645161,18.903225806451612,14.516129032258064,6.451612903225806,37.096774193548384,53.225806451612904
663728,62,38,15,11,35,30,8,17,84.78225806451613,22.822580645161292,24.193548387096776,17.741935483870968,56.45161290322581,61.29032258064516
665487,62,33,3,0,18,13,20,27,92.88064516129033,7.306451612903226,4.838709677419355,0.0,29.032258064516128,53.225806451612904
678246,61,34,12,5,25,21,13,22,88.07540983606557,16.688524590163933,19.672131147540984,8.19672131147541,40.98360655737705,55.73770491803279
694671,61,26,6,2,19,13,13,28,90.78524590163934,13.21311475409836,9.836065573770492,3.278688524590164,31.147540983606557,42.622950819672134
682663,61,24,6,2,23,11,13,28,88.86065573770492,12.639344262295081,9.836065573770492,3.278688524590164,37.704918032786885,39.34426229508197
701358,61,33,6,4,21,18,15,26,89.66333333333334,9.733333333333333,9.836065573770492,6.557377049180328,34.42622950819672,54.09836065573771
596115,61,30,12,4,29,14,16,29,89.55081967213115,10.262295081967213,19.672131147540984,6.557377049180328,47.540983606557376,49.18032786885246
666018,61,38,12,6,23,22,16,20,91.97049180327869,17.672131147540984,19.672131147540984,9.836065573770492,37.704918032786885,62.295081967213115
660271,60,34,15,7,37,23,11,24,94.61333333333333,13.133333333333333,25.0,11.666666666666666,61.666666666666664,56.666666666666664
642715,60,33,14,5,28,18,15,18,89.48333333333333,23.333333333333332,23.333333333333332,8.333333333333334,46.666666666666664,55.0
702284,60,30,15,7,35,15,15,21,85.78333333333333,18.7,25.0,11.666666666666666,58.333333333333336,50.0
671277,60,23,6,0,24,11,12,32,90.79137931034482,10.655172413793103,10.0,0.0,40.0,38.333333333333336
805367,60,28,11,5,29,14,14,31,87.23389830508475,7.338983050847458,18.333333333333332,8.333333333333334,48.333333333333336,46.666666666666664
669394,60,29,14,3,32,13,16,29,89.96166666666666,7.05,23.333333333333332,5.0,53.333333333333336,48.333333333333336
681624,60,34,10,3,20,15,19,20,92.03333333333333,18.383333333333333,16.666666666666668,5.0,33.333333333333336,56.666666666666664
691718,60,25,9,5,31,18,7,26,87.86999999999999,20.566666666666666,15.0,8.333333333333334,51.666666666666664,41.666666666666664
683737,60,26,9,5,26,17,9,31,83.38666666666667,12.233333333333333,15.0,8.333333333333334,43.333333333333336,43.333333333333336
545361,59,37,15,7,29,26,11,18,92.97241379310344,23.17241379310345,25.423728813559322,11.864406779661017,49.152542372881356,62.71186440677966
621439,59,33,13,7,26,20,13,15,87.97457627118644,25.89830508474576,22.033898305084747,11.864406779661017,44.067796610169495,55.932203389830505
605137,59,37,18,10,30,18,19,17,89.48474576271187,17.89830508474576,30.508474576271187,16.949152542372882,50.847457627118644,62.71186440677966
678662,59,36,13,5,24,17,19,20,89.44237288135594,14.440677966101696,22.033898305084747,8.474576271186441,40.67796610169491,61.016949152542374
669257,59,35,9,4,19,22,13,19,88.11525423728814,18.983050847457626,15.254237288135593,6.779661016949152,32.20338983050848,59.32203389830509
656775,59,33,13,6,25,21,12,15,84.62881355932204,28.54237288135593,22.033898305084747,10.169491525423728,42.3728813559322,55.932203389830505
691781,58,26,2,1,21,15,11,32,88.84137931034483,3.1206896551724137,3.4482758620689653,1.7241379310344827,36.206896551724135,44.827586206896555
656811,58,31,8,1,28,17,14,27,89.8603448275862,11.206896551724139,13.793103448275861,1.7241379310344827,48.275862068965516,53.44827586206897
682985,58,30,7,4,24,19,11,27,89.67241379310344,11.793103448275861,12.068965517241379,6.896551724137931,41.37931034482759,51.724137931034484
