player,player_id,b_total_pa,bb_count,exit_velocity_avg,pull_air_pct,iz_contact_pct,swg_dec,z_ev,z_pullair,z_izcon,z_swgdec,composite_z,min_z,rank_ev,rank_pullair,rank_izcon,rank_swgdec,rank_composite_z,rank_min_z,z_swing_percent,oz_swing_percent,iz_contact_percent,woba,xwoba,barrel_batted_rate,hard_hit_percent
Keibert Ruiz,660688,53,37.0,88.2,18.91891891891892,93.1,63.7,-0.36246807486405375,0.2461681133890935,1.4459802611055002,-1.1832566596211396,0.036605910002350084,-1.1832566596211396,191,119,18,258,142,177,60.4,33.0,93.1,0.248,0.213,4.5,38.6
Bryce Harper,547180,119,66.0,88.8,18.181818181818183,84.0,68.4,-0.15057100410745294,0.14315622780127288,0.005827762930690231,0.14331813678867192,0.03543278085329552,-0.15057100410745294,170,130,154,131,143,30,74.9,38.1,84.0,0.369,0.399,14.3,40.5
Bobby Witt Jr.,677951,125,68.0,92.6,13.235294117647058,81.9,67.2,1.1914437773510305,-0.5481343181287601,-0.32651512126349597,-0.19538181123085502,0.03035313168197984,-0.5481343181287601,35,213,189,170,144,84,67.9,33.5,81.9,0.347,0.383,11.1,52.2
Ernie Clement,676391,113,85.0,86.7,22.352941176470587,93.7,63.4,-0.8922107517555607,0.7260823097747054,1.540935370875269,-1.2679316466260222,0.0267188205670979,-1.2679316466260222,243,65,14,264,145,183,71.8,45.0,93.7,0.325,0.272,0.0,27.1
Ke'Bryan Hayes,663647,76,50.0,90.8,8.0,95.7,64.25,0.5557525650812231,-1.279781285118492,1.8574524034411617,-1.0280191834455241,0.026351124989592134,-1.279781285118492,75,264,5,249,146,184,57.0,28.5,95.7,0.181,0.322,11.7,38.3
Jeremiah Jackson,669236,93,54.0,88.0,22.22222222222222,80.5,69.2,-0.43310043178292235,0.7078139710234014,-0.5480770440596217,0.3691181021350219,0.023938649328969816,-0.5480770440596217,202,66,218,112,147,82,79.9,41.5,80.5,0.327,0.31,8.7,33.3
Yoán Moncada,660162,92,39.0,90.2,20.512820512820515,81.0,67.0,0.34385549432462226,0.4689203104294241,-0.4689477859181485,-0.25183180256744353,0.02299905406711357,-0.4689477859181485,100,89,207,181,148,70,53.0,19.0,81.0,0.321,0.294,8.7,41.3
Jonny DeLuca,676356,59,36.0,87.8,22.22222222222222,84.7,67.05,-0.503732788701791,0.7078139710234014,0.11660872432875305,-0.2377193047332974,0.020742650479266517,-0.503732788701791,211,66,135,179,149,75,68.6,34.5,84.7,0.344,0.31,6.1,32.7
Ramón Urías,602104,59,30.0,90.5,6.666666666666667,82.6,72.5,0.4498040297029226,-1.4661183403817943,-0.2157341598654354,1.3005429591887179,0.017123622161102692,-1.4661183403817943,88,276,181,25,150,212,69.7,24.7,82.6,0.294,0.31,10.0,40.0
Evan Carter,694497,102,49.0,89.5,16.3265306122449,83.3,68.55,0.09664224510858464,-0.11612538898439867,-0.10495319846737258,0.18565563029111026,0.015304821986980913,-0.11612538898439867,131,162,165,124,151,28,57.3,20.2,83.3,0.314,0.325,9.5,41.3
